idea	people	time	data	federal	many	more	could	system	should	web	government	transparency	recovery	provide	they	we	can	not	these	you	accountability	management	need	based	i	it	if	public	use	reporting	but	would	gov	information	state	there	all	stimulus	what	from	their	agencies	will	other	funds
src: http://www.thenationaldialogue.org/ideas/implement-a-trusted-information-strategy	0	0	12	0	1	0	0	2	0	0	0	0	0	0	0	0	5	3	0	0	0	1	0	1	0	2	0	0	0	0	2	0	0	5	0	0	0	0	0	1	0	0	2	1	0
src: http://www.thenationaldialogue.org/ideas/stream-line-govt-procurement-save-millions	2	0	0	0	0	1	0	0	0	0	1	0	0	0	1	2	0	2	1	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	1	0	1	2	0	0	3	0	0
src: http://www.thenationaldialogue.org/ideas/transparency-needs-cios-chiefs-of-staff-and-igs-focusing-on-irm-not-it	0	0	0	1	0	0	0	0	0	0	0	2	0	0	0	0	0	4	0	0	1	4	2	0	0	2	1	0	3	0	0	2	0	3	0	0	1	0	0	0	3	1	0	1	0
src: http://www.thenationaldialogue.org/ideas/adopt-effective-it-complexity-management	0	1	0	9	1	1	0	6	1	0	1	0	0	0	0	6	3	4	0	0	0	3	0	1	0	21	1	0	0	0	2	2	0	1	0	3	2	0	0	1	1	0	4	0	0
src: http://www.thenationaldialogue.org/ideas/voice-of-customer	2	1	0	0	0	1	0	0	1	0	0	0	0	0	0	0	2	2	0	2	0	0	0	0	0	1	1	1	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0
src: http://www.thenationaldialogue.org/ideas/use-geographic-information-systems	0	0	2	0	0	1	0	1	0	0	0	1	0	0	0	0	4	0	0	0	1	1	1	0	0	1	0	0	2	0	0	0	0	3	0	0	0	1	0	0	0	0	0	0	1
src: http://www.thenationaldialogue.org/ideas/broadcast-live-on-the-internet-all-it-contracts-awarded-and-negotiations	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	1	0	0	0	0	0	0	0	2	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	2	0
src: http://www.thenationaldialogue.org/ideas/deeper-analytics-visualization	0	0	0	3	0	0	0	0	0	1	4	0	4	0	2	3	2	0	0	0	0	1	0	1	0	1	0	0	2	0	0	0	0	0	2	0	0	0	0	0	0	3	1	0	7
src: http://www.thenationaldialogue.org/ideas/reducing-infrastructure-waste-one-size-fits-all-wont-work	0	0	9	0	0	0	1	0	2	0	3	3	2	0	3	0	5	2	1	1	1	0	1	0	0	0	1	2	0	2	0	1	2	1	2	1	3	1	0	0	0	2	2	2	1
src: http://www.thenationaldialogue.org/ideas/help-homeowners	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	1	0	0	1	0	3	2	0	0	0	0	0	1	0	0	1	0	1	0	0	0	1	0	0	0	0
src: http://www.thenationaldialogue.org/ideas/federal-government-telecommuting-boondoggle	0	0	0	14	1	0	0	0	1	0	4	0	0	0	6	0	0	2	0	2	3	1	0	0	0	3	1	0	0	0	1	0	0	0	0	6	0	0	1	2	1	0	0	0	0
src: http://www.thenationaldialogue.org/ideas/comparative-analysis-tools-needed-to-look-horizontally-across-projects	0	0	6	0	1	0	1	0	0	0	0	0	2	2	2	0	3	1	0	1	0	0	0	2	0	3	0	3	2	3	0	3	1	5	2	1	0	0	0	0	3	0	1	2	1
