ONLINE BUSINESS PLAN AND DUE DILIGENCE REPORTING SYSTEM AND DATA STORAGE	http://www.thenationaldialogue.org/ideas/online-business-plan-and-due-diligence-reporting-system-and-data-storage	fundingroadmap	62	4	52	http://www.thenationaldialogue.org/ideas/mostcomments_view/allideas_topic_view?b_start:int=0&-C=	2009-05-04
Online cascading performance budgets and performance reports	http://www.thenationaldialogue.org/ideas/online-cascading-performance-budgets-and-performance-reports	Strategisys	49	3	16	http://www.thenationaldialogue.org/ideas/mostcomments_view/allideas_topic_view?b_start:int=0&-C=	2009-05-04
Tracking through Google Earth and web cam	http://www.thenationaldialogue.org/ideas/tracking-through-google-earth-and-web-cam	loriscotts	45	3	39	http://www.thenationaldialogue.org/ideas/mostcomments_view/allideas_topic_view?b_start:int=0&-C=	2009-05-04
Linked Open Data	http://www.thenationaldialogue.org/ideas/linked-open-data	timbl	42	4	62	http://www.thenationaldialogue.org/ideas/mostcomments_view/allideas_topic_view?b_start:int=0&-C=	2009-05-04
Add Mapping and Geographic Analysis to Recovery.gov	http://www.thenationaldialogue.org/ideas/add-mapping-and-geographic-analysis-to-recovery.gov	ESRI	39	3	52	http://www.thenationaldialogue.org/ideas/mostcomments_view/allideas_topic_view?b_start:int=0&-C=	2009-05-04
Provide Enterprise Resource Planning Solutions to Local Agencies	http://www.thenationaldialogue.org/ideas/provide-enterprise-resource-planning-solutions-to-local-agencies	RebuildingMgmt	35	3	35	http://www.thenationaldialogue.org/ideas/mostcomments_view/allideas_topic_view?b_start:int=5&-C=	2009-05-04
Open Data Will Enable Democratized Analysis and Accountability	http://www.thenationaldialogue.org/ideas/open-data-will-enable-democratized-analysis-and-accountability	jzuck	29	4	69	http://www.thenationaldialogue.org/ideas/mostcomments_view/allideas_topic_view?b_start:int=5&-C=	2009-05-04
Add National Online Mapping to Recovery.gov	http://www.thenationaldialogue.org/ideas/add-national-online-mapping-to-recovery.gov	PolicyMap	28	4	63	http://www.thenationaldialogue.org/ideas/mostcomments_view/allideas_topic_view?b_start:int=5&-C=	2009-05-04
Count ACTUAL jobs created or retained with CertiClear Job Counter	http://www.thenationaldialogue.org/ideas/count-actual-jobs-created-or-retained-with-certiclear-job-counter	CertiClear	23	3	44	http://www.thenationaldialogue.org/ideas/mostcomments_view/allideas_topic_view?b_start:int=5&-C=	2009-05-04
Citability.org - Making Govt documentation web citable to a paragraph level	http://www.thenationaldialogue.org/ideas/citability-org-making-govt-documentation-web-citable-to-a-paragraph-level	Silona	20	4	38	http://www.thenationaldialogue.org/ideas/mostcomments_view/allideas_topic_view?b_start:int=5&-C=	2009-05-04
Data quality and data standards are key to gaining public trust	http://www.thenationaldialogue.org/ideas/data-quality-and-data-standards-are-key-to-gaining-public-trust	mukeshdalal	17	4	11	http://www.thenationaldialogue.org/ideas/mostcomments_view/allideas_topic_view?b_start:int=10&-C=	2009-05-04
